Cluster,Feature,Cluster_Presence,Global_Presence,Diff_From_Global
5,persistent_menu,1.0,0.833,0.167
5,processing_indicator,1.0,0.833,0.167
5,quick_reply,1.0,0.583,0.417
5,quick_start_button,0.5,0.417,0.083
5,sticker_chat_message,0.0,0.25,-0.25
5,system_information,0.5,0.75,-0.25
5,text_chat_message,1.0,1.0,0.0
5,video_chat_message,0.0,0.167,-0.167
5,voice_chat_message,1.0,0.833,0.167
5,web_preview_chat_message,0.5,0.25,0.25
